年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2007,Ｊ２,第８節第１日,04/11(水),19:04,愛媛,0-2,Ｃ大阪,愛媛陸,"2,512",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第９節第１日,04/14(土),14:04,仙台,5-2,鳥栖,ユアスタ,"12,432",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／東日本放送
2007,Ｊ２,第９節第１日,04/14(土),19:04,京都,1-1,草津,鴨池,"7,023",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都
2007,Ｊ２,第９節第２日,04/15(日),13:03,湘南,3-0,東京Ｖ,平塚,"6,113",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第９節第２日,04/15(日),13:03,福岡,1-0,愛媛,博多球,"7,557",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第９節第２日,04/15(日),14:04,山形,2-1,Ｃ大阪,ＮＤスタ,"4,596",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／テレビユー山形
2007,Ｊ２,第９節第２日,04/15(日),14:04,水戸,0-2,札幌,笠松,"2,385",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊
2007,Ｊ２,第１０節第１日,04/21(土),13:03,草津,0-3,福岡,群馬陸,"5,385",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ（録）
2007,Ｊ２,第１０節第１日,04/21(土),13:04,徳島,0-1,山形,鳴門,"2,235",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１０節第１日,04/21(土),16:03,Ｃ大阪,0-0,水戸,長居２,"5,580",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１０節第１日,04/21(土),16:04,愛媛,3-0,京都,愛媛陸,"2,715",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１０節第２日,04/22(日),13:03,鳥栖,0-5,湘南,鳥栖,"3,760",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１０節第２日,04/22(日),13:04,札幌,4-3,東京Ｖ,札幌ド,"18,385",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／北海道放送
2007,Ｊ２,第１１節第１日,04/25(水),19:03,東京Ｖ,0-3,徳島,味スタ,"2,481",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
