年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2002,Ｊ２,第１節第１日,03/03(日),13:00,横浜FC,3-2,甲府,三ツ沢,"3,652",Ｊスカイスポーツ（録）
2002,Ｊ２,第１節第１日,03/03(日),13:01,川崎Ｆ,1-1,湘南,等々力,"5,159",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第１節第１日,03/03(日),14:00,水戸,0-1,新潟,ひたちな,"3,018",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第１節第１日,03/03(日),14:03,大宮,1-1,鳥栖,大宮,"4,567",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第１節第１日,03/03(日),14:03,Ｃ大阪,6-0,山形,長居２,"6,755",スカイパーフェクＴＶ！
2002,Ｊ２,第１節第１日,03/03(日),15:36,福岡,1-2,大分,博多球,"10,583",ＮＨＫ福岡／Ｊスカイスポーツ
2002,Ｊ２,第２節第１日,03/09(土),14:00,川崎Ｆ,2-0,大宮,等々力,"3,433",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第２節第１日,03/09(土),14:04,大分,2-0,山形,大分ス,"8,511",スカイパーフェクＴＶ！
2002,Ｊ２,第２節第１日,03/09(土),14:05,甲府,0-2,福岡,小瀬,"5,381",Ｊスカイスポーツ（録）
2002,Ｊ２,第２節第１日,03/09(土),15:00,湘南,2-1,水戸,平塚,"4,007",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第２節第１日,03/09(土),15:04,横浜FC,0-2,新潟,三ツ沢,"2,840",Ｊスカイスポーツ
2002,Ｊ２,第２節第２日,03/10(日),13:04,鳥栖,0-2,Ｃ大阪,鳥栖,"7,214",スカイパーフェクＴＶ！
2002,Ｊ２,第３節第１日,03/16(土),15:00,水戸,0-1,甲府,ひたちな,"2,886",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第３節第１日,03/16(土),15:01,大宮,1-0,横浜FC,大宮,"3,918",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第３節第１日,03/16(土),15:04,Ｃ大阪,3-0,湘南,長居２,"4,774",Ｊスカイスポーツ
2002,Ｊ２,第３節第１日,03/16(土),15:04,福岡,4-0,川崎Ｆ,博多球,"5,345",スカイパーフェクＴＶ！
2002,Ｊ２,第３節第２日,03/17(日),13:00,鳥栖,1-0,山形,鳥栖,"3,011",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第３節第２日,03/17(日),13:35,新潟,0-1,大分,新潟ス,"35,245",テレビ新潟／Ｊスカイスポーツ
2002,Ｊ２,第４節第１日,03/21(木・祝),13:04,Ｃ大阪,2-2,川崎Ｆ,長居２,"4,141",スカイパーフェクＴＶ！
2002,Ｊ２,第４節第１日,03/21(木・祝),14:00,山形,2-3,甲府,山形県,"5,372",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第４節第１日,03/21(木・祝),14:00,新潟,2-2,湘南,新潟陸,"9,125",スカイパーフェクＴＶ！（録）
2002,Ｊ２,第４節第１日,03/21(木・祝),14:03,大分,2-0,鳥栖,大分ス,"7,943",Ｊスカイスポーツ（録）
2002,Ｊ２,第４節第１日,03/21(木・祝),14:04,福岡,1-1,横浜FC,博多球,"5,368",Ｊスカイスポーツ
2002,Ｊ２,第５節第１日,03/24(日),13:00,横浜FC,1-2,大分,夢の島,"2,395",Ｊスカイスポーツ（録）
2002,Ｊ２,第５節第１日,03/24(日),13:01,鳥栖,1-1,新潟,鳥栖,"2,507",スカイパーフェクＴＶ！（録）
