年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2015,Ｊ２,第１節第１日,03/08(日),13:03,磐田,3-1,北九州,ヤマハ,"10,438",スカパー！／スカパー！プレミアムサービス／静岡放送
2015,Ｊ２,第１節第１日,03/08(日),13:03,長崎,0-1,千葉,長崎県立,"5,501",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第１節第１日,03/08(日),13:04,水戸,0-0,熊本,笠松,"4,787",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第１節第１日,03/08(日),13:04,群馬,0-1,横浜FC,正田スタ,"11,198",スカパー！／スカパー！プレミアムサービス／群馬テレビ
2015,Ｊ２,第１節第１日,03/08(日),13:05,福岡,1-3,京都,レベスタ,"13,804",スカパー！／スカパー！プレミアムサービス／福岡放送（録）
2015,Ｊ２,第１節第１日,03/08(日),14:03,岡山,3-0,岐阜,Ｃスタ,"10,995",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第１節第１日,03/08(日),14:04,大宮,1-0,金沢,ＮＡＣＫ,"8,635",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／テレ玉
2015,Ｊ２,第１節第１日,03/08(日),14:05,徳島,0-0,愛媛,鳴門大塚,"7,860",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第１節第１日,03/08(日),16:03,讃岐,2-0,大分,丸亀,"4,198",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第１節第１日,03/08(日),16:03,栃木,1-2,札幌,栃木グ,"7,146",スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
2015,Ｊ２,第１節第１日,03/08(日),16:03,東京Ｖ,1-1,Ｃ大阪,味スタ,"12,217",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第２節第１日,03/15(日),13:03,北九州,2-0,徳島,本城,"3,556",スカパー！／スカパー！プレミアムサービス／ＮＨＫ北九州
2015,Ｊ２,第２節第１日,03/15(日),13:03,大分,0-1,岡山,大銀ド,"8,310",スカパー！／スカパー！プレミアムサービス／ＮＨＫ大分
2015,Ｊ２,第２節第１日,03/15(日),13:03,札幌,0-1,長崎,札幌ド,"18,086",スカパー！／スカパー！プレミアムサービス／北海道文化放送
2015,Ｊ２,第２節第１日,03/15(日),13:04,金沢,3-0,東京Ｖ,石川西部,"6,104",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第２節第１日,03/15(日),13:04,岐阜,1-0,讃岐,長良川,"8,332",スカパー！／スカパー！プレミアムサービス／ＮＨＫ岐阜／ＮＨＫ高松
2015,Ｊ２,第２節第１日,03/15(日),13:05,熊本,2-2,群馬,水前寺,"5,075",スカパー！／スカパー！プレミアムサービス／ＮＨＫ熊本／ＮＨＫ前橋
2015,Ｊ２,第２節第１日,03/15(日),13:05,愛媛,2-1,福岡,ニンスタ,"2,489",スカパー！／スカパー！プレミアムサービス／ＮＨＫ松山／ＮＨＫ福岡
2015,Ｊ２,第２節第１日,03/15(日),14:04,京都,0-2,磐田,西京極,"16,920",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第２節第１日,03/15(日),16:03,横浜FC,1-1,栃木,ニッパツ,"6,794",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第２節第１日,03/15(日),16:04,千葉,2-0,水戸,フクアリ,"13,544",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第２節第１日,03/15(日),17:04,Ｃ大阪,3-1,大宮,ヤンマー,"15,584",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第１日,03/20(金),19:03,金沢,1-2,横浜FC,石川西部,"4,652",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),13:03,栃木,1-1,千葉,栃木グ,"5,479",スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
2015,Ｊ２,第３節第２日,03/21(土・祝),13:03,東京Ｖ,2-0,水戸,味スタ,"3,514",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),13:04,群馬,1-1,大分,正田スタ,"4,135",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),14:03,岡山,1-1,Ｃ大阪,Ｃスタ,"15,820",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),14:03,札幌,2-1,福岡,札幌ド,"10,889",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),14:04,徳島,1-0,岐阜,鳴門大塚,"4,733",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),14:04,愛媛,0-1,熊本,ニンスタ,"2,278",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),17:03,讃岐,1-0,磐田,丸亀,"4,334",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第３節第２日,03/21(土・祝),17:04,大宮,2-1,京都,ＮＡＣＫ,"7,173",スカパー！／スカパー！プレミアムサービス／テレ玉
2015,Ｊ２,第３節第２日,03/21(土・祝),18:03,長崎,2-0,北九州,長崎県立,"4,043",スカパー！／スカパー！プレミアムサービス／ＮＨＫ長崎
2015,Ｊ２,第４節第１日,03/29(日),13:03,水戸,3-1,愛媛,笠松,"4,730",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第４節第１日,03/29(日),13:03,長崎,1-1,東京Ｖ,長崎県立,"3,730",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第４節第１日,03/29(日),13:03,栃木,2-1,徳島,栃木グ,"2,846",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第４節第１日,03/29(日),13:04,磐田,2-1,大分,ヤマハ,"7,748",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第４節第１日,03/29(日),13:04,岐阜,0-2,金沢,長良川,"3,934",スカパー！／スカパー！プレミアムサービス／岐阜放送
2015,Ｊ２,第４節第１日,03/29(日),13:06,福岡,1-0,熊本,レベスタ,"8,361",スカパー！／スカパー！プレミアムサービス
2015,Ｊ２,第４節第１日,03/29(日),14:04,京都,1-1,讃岐,西京極,"4,420",スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）
2015,Ｊ２,第４節第１日,03/29(日),15:03,北九州,0-1,群馬,本城,"2,267",スカパー！／スカパー！プレミアムサービス
