年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2008,Ｊ２,第１節第１日,03/08(土),13:03,湘南,1-0,仙台,平塚,"8,724",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第１節第１日,03/08(土),14:04,愛媛,2-1,熊本,ニンスタ,"5,122",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ松山
2008,Ｊ２,第１節第１日,03/08(土),14:05,鳥栖,1-0,山形,ベアスタ,"7,057",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ佐賀／ＮＨＫ山形
2008,Ｊ２,第１節第２日,03/09(日),13:04,草津,0-2,広島,群馬陸,"6,974",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ
2008,Ｊ２,第１節第２日,03/09(日),13:05,水戸,0-2,Ｃ大阪,笠松,"5,437",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊
2008,Ｊ２,第１節第２日,03/09(日),14:03,甲府,1-1,岐阜,小瀬,"13,211",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ甲府／ＮＨＫ岐阜（東海３県）
2008,Ｊ２,第１節第２日,03/09(日),14:06,徳島,0-2,横浜FC,鳴門大塚,"6,150",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ徳島
2008,Ｊ２,第２節第１日,03/15(土),13:04,Ｃ大阪,1-3,山形,長居,"6,937",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第２節第１日,03/15(土),15:03,熊本,2-1,草津,熊本,"5,960",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／熊本放送
2008,Ｊ２,第２節第２日,03/16(日),13:03,岐阜,0-1,仙台,長良川,"5,023",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／岐阜放送
2008,Ｊ２,第２節第２日,03/16(日),13:04,福岡,2-1,水戸,レベスタ,"15,157",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第２節第２日,03/16(日),14:03,甲府,0-0,徳島,小瀬,"9,687",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／山梨放送
2008,Ｊ２,第２節第２日,03/16(日),14:04,広島,3-0,愛媛,広島ビ,"17,250",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ広島
2008,Ｊ２,第２節第２日,03/16(日),16:04,横浜FC,3-2,湘南,ニッパ球,"6,287",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第３節第１日,03/20(木・祝),13:04,山形,3-5,岐阜,ＮＤスタ,"5,430",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第３節第１日,03/20(木・祝),13:04,草津,0-0,横浜FC,群馬陸,"2,868",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／群馬テレビ
2008,Ｊ２,第３節第１日,03/20(木・祝),13:05,鳥栖,1-0,Ｃ大阪,ベアスタ,"7,839",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第３節第１日,03/20(木・祝),13:06,仙台,1-0,福岡,ユアスタ,"15,626",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ仙台
2008,Ｊ２,第３節第１日,03/20(木・祝),16:03,湘南,0-2,広島,平塚,"4,027",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第３節第１日,03/20(木・祝),16:04,水戸,1-0,甲府,笠松,"1,506",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第３節第１日,03/20(木・祝),16:04,徳島,0-3,愛媛,鳴門大塚,"3,564",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),13:03,横浜FC,0-0,鳥栖,ニッパ球,"3,728",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),13:03,熊本,0-2,湘南,熊本,"3,046",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),13:04,Ｃ大阪,2-1,仙台,長居,"6,069",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),14:04,愛媛,1-2,草津,ニンスタ,"2,342",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／あいテレビ
2008,Ｊ２,第４節第１日,03/23(日),16:03,甲府,2-2,福岡,小瀬,"9,185",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),16:04,広島,2-2,水戸,広島ビ,"6,677",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第４節第１日,03/23(日),18:03,岐阜,2-1,徳島,長良川,"2,028",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／名古屋テレビ（録）
2008,Ｊ２,第５節第１日,03/29(土),13:04,仙台,1-0,草津,ユアスタ,"12,167",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第１日,03/29(土),13:04,山形,0-0,甲府,ＮＤスタ,"3,164",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第１日,03/29(土),13:04,水戸,2-2,横浜FC,笠松,"5,024",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第１日,03/29(土),16:03,湘南,2-3,徳島,平塚,"4,474",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第１日,03/29(土),16:03,Ｃ大阪,1-0,岐阜,長居,"5,617",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第２日,03/30(日),13:03,福岡,2-0,愛媛,レベスタ,"9,096",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第５節第２日,03/30(日),13:03,鳥栖,1-1,熊本,ベアスタ,"6,201",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第６節第１日,04/05(土),13:04,草津,1-2,湘南,群馬陸,"4,751",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ（録）
2008,Ｊ２,第６節第１日,04/05(土),13:04,愛媛,1-2,鳥栖,ニンスタ,"2,617",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第６節第２日,04/06(日),13:03,横浜FC,1-1,仙台,ニッパ球,"6,465",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第６節第２日,04/06(日),13:03,熊本,1-2,山形,熊本,"3,515",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第６節第２日,04/06(日),13:04,徳島,3-1,福岡,鳴門大塚,"2,722",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第６節第２日,04/06(日),14:03,甲府,3-2,Ｃ大阪,小瀬,"10,389",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ甲府
2008,Ｊ２,第６節第２日,04/06(日),16:03,岐阜,1-1,広島,長良川,"5,471",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／岐阜放送
2008,Ｊ２,第７節第１日,04/12(土),13:03,福岡,1-5,岐阜,レベスタ,"7,854",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第７節第１日,04/12(土),13:04,山形,1-0,横浜FC,ＮＤスタ,"3,832",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第７節第１日,04/12(土),13:34,仙台,1-1,徳島,ユアスタ,"11,013",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ミヤギテレビ
2008,Ｊ２,第７節第２日,04/13(日),13:04,鳥栖,1-1,草津,ベアスタ,"4,797",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第７節第２日,04/13(日),13:05,水戸,2-2,熊本,笠松,"1,464",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ水戸＊
2008,Ｊ２,第７節第２日,04/13(日),16:03,湘南,1-0,甲府,平塚,"5,652",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第７節第２日,04/13(日),16:04,広島,4-1,Ｃ大阪,広島ビ,"8,415",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第８節第１日,04/19(土),14:03,岐阜,2-3,横浜FC,長良川,"6,269",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ岐阜
2008,Ｊ２,第８節第１日,04/19(土),14:04,愛媛,1-1,仙台,ニンスタ,"3,271",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ松山
2008,Ｊ２,第８節第２日,04/20(日),13:04,草津,1-1,山形,正田スタ,"3,903",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ（録）
2008,Ｊ２,第８節第２日,04/20(日),13:04,Ｃ大阪,1-0,熊本,長居,"8,382",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第８節第２日,04/20(日),13:05,福岡,2-0,鳥栖,レベスタ,"11,368",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第８節第２日,04/20(日),16:04,広島,1-2,甲府,広島ビ,"10,746",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第８節第２日,04/20(日),16:04,徳島,2-0,水戸,鳴門大塚,"3,283",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第９節第１日,04/26(土),13:03,横浜FC,1-1,Ｃ大阪,ニッパ球,"4,316",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第９節第１日,04/26(土),13:03,鳥栖,2-1,徳島,ベアスタ,"4,487",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第９節第１日,04/26(土),13:04,山形,0-0,福岡,ＮＤスタ,"3,012",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビユー山形
2008,Ｊ２,第９節第１日,04/26(土),14:03,甲府,1-0,愛媛,小瀬,"8,305",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／山梨放送
2008,Ｊ２,第９節第１日,04/26(土),15:03,熊本,1-2,広島,熊本,"5,822",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ熊本
2008,Ｊ２,第９節第１日,04/26(土),16:03,湘南,4-2,岐阜,平塚,"3,543",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第９節第１日,04/26(土),16:04,仙台,3-3,水戸,ユアスタ,"11,755",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第１０節第１日,04/29(火・祝),13:04,山形,1-0,湘南,ＮＤスタ,"4,787",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第１０節第１日,04/29(火・祝),13:04,水戸,1-3,岐阜,笠松,"1,971",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第１０節第１日,04/29(火・祝),13:04,徳島,1-4,広島,鳴門大塚,"7,254",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ２,第１０節第１日,04/29(火・祝),14:04,熊本,2-1,甲府,熊本,"4,464",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／熊本朝日放送
2008,Ｊ２,第１０節第１日,04/29(火・祝),14:05,仙台,3-0,鳥栖,ユアスタ,"13,461",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／東北放送（録）
2008,Ｊ２,第１０節第１日,04/29(火・祝),16:03,福岡,1-1,草津,レベスタ,"6,432",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2008,Ｊ２,第１０節第１日,04/29(火・祝),17:04,愛媛,1-4,Ｃ大阪,ニンスタ,"3,782",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
