年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2010,Ｊ２,第１節第１日,03/06(土),13:04,福岡,3-1,甲府,レベスタ,"7,653",スカパースカチャン／ｅ２スカチャン
2010,Ｊ２,第１節第１日,03/06(土),14:06,徳島,1-0,草津,鳴門大塚,"4,351",スカパースカチャン／ｅ２スカチャン／ＮＨＫ徳島
2010,Ｊ２,第１節第１日,03/06(土),16:05,水戸,2-1,栃木,Ｋｓスタ,"3,581",スカパースカチャン／ｅ２スカチャン
2010,Ｊ２,第１節第２日,03/07(日),13:04,柏,2-1,大分,柏,"7,680",スカパースカチャン／ｅ２スカチャン
2010,Ｊ２,第１節第２日,03/07(日),13:04,岐阜,2-1,富山,長良川,"4,050",スカパースカチャン／ｅ２スカチャン／岐阜放送（録）
2010,Ｊ２,第１節第２日,03/07(日),15:03,鳥栖,1-1,札幌,ベアスタ,"8,971",スカパースカチャン／ｅ２スカチャン／ＮＨＫ佐賀
2010,Ｊ２,第１節第２日,03/07(日),15:05,熊本,1-1,千葉,熊本,"9,101",スカパースカチャン／ｅ２スカチャン／ＮＨＫ熊本
2010,Ｊ２,第１節第２日,03/07(日),16:03,横浜FC,2-0,北九州,ニッパ球,"4,506",スカパースカチャン／ｅ２スカチャン
2010,Ｊ２,第１節第２日,03/07(日),16:04,愛媛,0-1,岡山,ニンスタ,"4,863",スカパースカチャン／ｅ２スカチャン（録）／ＮＨＫ松山／ＮＨＫ岡山
2010,Ｊ２,第２節第１日,03/13(土),13:05,草津,0-1,愛媛,正田スタ,"4,812",スカパースカチャン／ｅ２スカチャン／群馬テレビ
2010,Ｊ２,第２節第１日,03/13(土),16:04,札幌,0-3,福岡,札幌ド,"21,071",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌／ＮＨＫ福岡
2010,Ｊ２,第２節第１日,03/13(土),16:04,甲府,1-1,水戸,小瀬,"12,381",スカパースカチャン／ｅ２スカチャン／ＮＨＫ甲府／ＮＨＫ水戸＊
2010,Ｊ２,第２節第１日,03/13(土),16:04,岡山,0-1,横浜FC,カンスタ,"10,725",スカパースカチャン／ｅ２スカチャン（録）／ＮＨＫ岡山
