年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2001,Ｊ２,第１節第１日,03/10(土),13:01,大分,1-2,大宮,大分陸,"4,864",大分朝日放送／テレビ埼玉（録）／スカイパーフェクＴＶ！
2001,Ｊ２,第１節第１日,03/10(土),13:59,水戸,0-1,仙台,ひたちな,"3,035",スカイパーフェクＴＶ！（録）
2001,Ｊ２,第１節第１日,03/10(土),13:59,川崎Ｆ,3-1,甲府,等々力,"3,945",Ｊスカイスポーツ（録）
2001,Ｊ２,第１節第１日,03/10(土),14:03,湘南,1-0,横浜FC,平塚,"6,009",Ｊスカイスポーツ
2001,Ｊ２,第１節第１日,03/10(土),15:00,京都,2-2,山形,西京極,"2,857",ＫＢＳ京都（録）／スカイパーフェクＴＶ！（録）
2001,Ｊ２,第１節第２日,03/11(日),13:03,鳥栖,1-1,新潟,鳥栖,"3,403",Ｊスカイスポーツ
2001,Ｊ２,第２節第１日,03/17(土),15:03,横浜FC,2-1,仙台,三ツ沢,"7,174",Ｊスカイスポーツ
2001,Ｊ２,第２節第１日,03/17(土),15:04,京都,1-0,新潟,西京極,"1,820",ＫＢＳ京都（録）／スカイパーフェクＴＶ！
2001,Ｊ２,第２節第１日,03/17(土),15:06,甲府,0-3,湘南,小瀬,"3,704",ＮＨＫ甲府（録）／スカイパーフェクＴＶ！（録）
2001,Ｊ２,第２節第１日,03/17(土),18:33,水戸,1-2,大分,栃木,"1,153",スカイパーフェクＴＶ！
2001,Ｊ２,第２節第１日,03/17(土),19:00,鳥栖,0-1,川崎Ｆ,鳥栖,"2,714",Ｊスカイスポーツ（録）
2001,Ｊ２,第２節第２日,03/20(火・祝),14:03,大宮,1-2,山形,大宮,"5,756",テレビ埼玉（録）／Ｊスカイスポーツ
2001,Ｊ２,第３節第１日,03/24(土),12:59,新潟,1-1,山形,新潟陸,"5,546",Ｊスカイスポーツ（録）
2001,Ｊ２,第３節第１日,03/24(土),14:00,湘南,1-0,鳥栖,平塚,"3,820",スカイパーフェクＴＶ！（録）
