年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2011,Ｊ２,第１節第１日,03/05(土),14:02,愛媛,2-0,札幌,ニンスタ,"6,230",スカパー／ｅ２／スカパー光／ＮＨＫ松山／ＮＨＫ札幌
2011,Ｊ２,第１節第１日,03/05(土),14:05,Ｆ東京,1-0,鳥栖,味スタ,"21,408",スカパー／ｅ２／スカパー光／ＴＯＫＹＯ　ＭＸ／ひかりＴＶ
2011,Ｊ２,第１節第１日,03/05(土),17:05,水戸,2-1,京都,Ｋｓスタ,"4,222",スカパー／ｅ２／スカパー光
2011,Ｊ２,第１節第２日,03/06(日),13:03,栃木,2-1,草津,栃木グ,"6,144",スカパー／ｅ２／スカパー光／とちぎテレビ（録）
2011,Ｊ２,第１節第２日,03/06(日),13:03,湘南,5-0,岡山,平塚,"10,255",スカパー／ｅ２／スカパー光
2011,Ｊ２,第１節第２日,03/06(日),13:03,北九州,0-3,千葉,本城,"3,359",スカパー／ｅ２／スカパー光
2011,Ｊ２,第１節第２日,03/06(日),15:06,徳島,1-0,鳥取,鳴門大塚,"5,854",スカパー／ｅ２／スカパー光／ＮＨＫ徳島／ＮＨＫ鳥取
2011,Ｊ２,第１節第２日,03/06(日),15:07,熊本,1-0,東京Ｖ,熊本,"6,611",スカパー／ｅ２／スカパー光／ＮＨＫ熊本／ひかりＴＶ
2011,Ｊ２,第１節第２日,03/06(日),16:04,横浜FC,1-2,富山,ニッパ球,"11,306",スカパー／ｅ２／スカパー光
2011,Ｊ２,第１節第２日,03/06(日),16:04,岐阜,0-1,大分,長良川,"6,621",スカパー／ｅ２／スカパー光
2011,Ｊ２,第８節第１日,04/23(土),13:05,水戸,2-1,徳島,Ｋｓスタ,"1,273",スカパー／ｅ２／スカパー光
2011,Ｊ２,第８節第１日,04/23(土),13:05,熊本,2-1,岐阜,熊本,"5,381",スカパー／ｅ２（録）／スカパー光
2011,Ｊ２,第８節第１日,04/23(土),14:03,横浜FC,1-3,鳥栖,ニッパ球,"3,783",スカパー／ｅ２（録）／スカパー光
2011,Ｊ２,第８節第１日,04/23(土),16:04,札幌,0-1,湘南,札幌ド,"11,734",スカパー／ｅ２／スカパー光
2011,Ｊ２,第８節第１日,04/23(土),19:07,富山,1-3,栃木,富山,"2,849",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ２,第８節第２日,04/24(日),13:05,東京Ｖ,1-2,愛媛,駒沢,"4,516",スカパー／ｅ２／スカパー光
2011,Ｊ２,第８節第２日,04/24(日),13:29,京都,2-1,岡山,西京極,"9,161",スカパー／ｅ２（録）／スカパー光／ＫＢＳ京都（録）
2011,Ｊ２,第８節第２日,04/24(日),14:05,千葉,3-0,Ｆ東京,フクアリ,"16,360",スカパー／ｅ２／スカパー光／ひかりＴＶ（録）
2011,Ｊ２,第８節第２日,04/24(日),16:03,北九州,0-2,鳥取,本城,"3,101",スカパー／ｅ２／スカパー光
2011,Ｊ２,第８節第２日,04/24(日),16:05,大分,1-2,草津,大銀ド,"9,537",スカパー／ｅ２／スカパー光
2011,Ｊ２,第９節第１日,04/30(土),13:03,栃木,1-0,京都,栃木グ,"4,473",スカパー／ｅ２（録）／スカパー光／とちぎテレビ（録）
2011,Ｊ２,第９節第１日,04/30(土),13:03,鳥取,0-0,富山,とりスタ,"3,268",スカパー／ｅ２／スカパー光／日本海テレビ
2011,Ｊ２,第９節第１日,04/30(土),13:04,草津,1-0,熊本,正田スタ,"3,258",スカパー／ｅ２（録）／スカパー光／群馬テレビ（録）
2011,Ｊ２,第９節第１日,04/30(土),13:04,Ｆ東京,0-0,札幌,味スタ,"17,572",スカパー／ｅ２／スカパー光／ひかりＴＶ／ＴＯＫＹＯ　ＭＸ（録）
