年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2013,Ｊ２ ,第１節第１日,03/03(日),"
														13:03","
栃木
","
0-1
","
松本
","
														栃木グ","
														8,686",スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
2013,Ｊ２ ,第１節第１日,03/03(日),"
														13:03","
千葉
","
0-1
","
札幌
","
														フクアリ","
														13,583",スカパー！／スカパー！プレミアムサービス
2013,Ｊ２ ,第１節第１日,03/03(日),"
														13:05","
岐阜
","
0-2
","
横浜FC
","
														長良川","
														5,006",スカパー！／スカパー！プレミアムサービス／岐阜放送
2013,Ｊ２ ,第１節第１日,03/03(日),"
														13:06","
徳島
","
0-1
","
神戸
","
														鳴門大塚","
														7,917",スカパー！／スカパー！プレミアムサービス
2013,Ｊ２ ,第１節第１日,03/03(日),"
														14:04","
東京Ｖ
","
0-1
","
福岡
","
														味スタ","
														10,447",スカパー！／スカパー！プレミアムサービス
2013,Ｊ２ ,第１節第１日,03/03(日),"
														15:04","
北九州
","
1-2
","
富山
","
														本城","
														2,506",スカパー！／スカパー！プレミアムサービス／ＮＨＫ北九州
2013,Ｊ２ ,第１節第１日,03/03(日),"
														15:05","
熊本
","
1-2
","
鳥取
","
														うまスタ","
														11,116",スカパー！／スカパー！プレミアムサービス／ＮＨＫ熊本／ＮＨＫ鳥取
2013,Ｊ２ ,第１節第１日,03/03(日),"
														15:33","
水戸
","
1-1
","
群馬
","
														Ｋｓスタ","
														5,537",スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸
2013,Ｊ２ ,第１節第１日,03/03(日),"
														15:34","
岡山
","
1-1
","
長崎
","
														カンスタ","
														9,687",スカパー！／スカパー！プレミアムサービス／ＮＨＫ岡山／ＮＨＫ長崎
2013,Ｊ２ ,第１節第１日,03/03(日),"
														15:34","
愛媛
","
3-1
","
山形
","
														ニンスタ","
														4,474",スカパー！／スカパー！プレミアムサービス／ＮＨＫ松山
2013,Ｊ２ ,第１節第１日,03/03(日),"
														16:03","
Ｇ大阪
","
3-3
","
京都
","
														万博","
														18,041",スカパー！／スカパー！プレミアムサービス
2013,Ｊ２ ,第２節第１日,03/10(日),"
														13:03","
水戸
","
1-0
","
富山
","
														Ｋｓスタ","
														2,895",スカパー！／スカパー！プレミアムサービス
2013,Ｊ２ ,第２節第１日,03/10(日),"
														13:03","
岡山
","
0-0
","
北九州
","
														カンスタ","
														6,356",スカパー！／スカパー！プレミアムサービス
