年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2012,Ｊ２ ,第１節第１日,03/04(日),"
														13:05","
水戸
","
2-1
","
横浜FC
","
														Ｋｓスタ","
														5,817",スカパー／ｅ２（スカイ・Ａ　ｓｐｏｒｔｓ＋）／スカパー光
2012,Ｊ２ ,第１節第１日,03/04(日),"
														13:05","
東京Ｖ
","
2-0
","
松本
","
														味スタ","
														12,432",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:04","
甲府
","
2-1
","
栃木
","
														中銀スタ","
														10,169",スカパー／ｅ２／スカパー光／ＮＨＫ甲府
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:04","
岐阜
","
2-2
","
鳥取
","
														長良川","
														3,321",スカパー／ｅ２（録）／スカパー光／ＮＨＫ岐阜／ＮＨＫ鳥取
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:04","
岡山
","
1-1
","
富山
","
														カンスタ","
														6,981",スカパー／ｅ２／スカパー光／ＮＨＫ岡山／ＮＨＫ富山
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:05","
福岡
","
2-1
","
熊本
","
														レベスタ","
														7,379",スカパー／ｅ２／スカパー光／ＮＨＫ福岡／ＮＨＫ熊本
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:05","
大分
","
2-3
","
草津
","
														大銀ド","
														9,379",スカパー／ｅ２／スカパー光／ＮＨＫ大分
2012,Ｊ２ ,第１節第１日,03/04(日),"
														15:34","
千葉
","
2-0
","
山形
","
														フクアリ","
														11,479",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第１節第１日,03/04(日),"
														16:05","
愛媛
","
2-0
","
町田
","
														ニンスタ","
														3,926",スカパー／ｅ２（録）／スカパー光／ＮＨＫ松山
2012,Ｊ２ ,第１節第１日,03/04(日),"
														17:34","
湘南
","
2-1
","
京都
","
														ＢＭＷス","
														9,065",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第１節第１日,03/04(日),"
														17:34","
北九州
","
1-2
","
徳島
","
														本城","
														3,160",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:03","
栃木
","
0-3
","
大分
","
														栃木グ","
														4,148",スカパー／ｅ２／スカパー光／とちぎテレビ（録）
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:03","
松本
","
1-2
","
山形
","
														松本","
														13,098",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:03","
北九州
","
0-0
","
岡山
","
														本城","
														4,009",スカパー／ｅ２（録）／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:04","
水戸
","
1-0
","
富山
","
														Ｋｓスタ","
														2,601",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:04","
町田
","
0-1
","
福岡
","
														駒沢","
														4,286",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														13:06","
徳島
","
3-0
","
岐阜
","
														鳴門大塚","
														6,016",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														15:04","
草津
","
1-3
","
湘南
","
														正田スタ","
														4,237",スカパー／ｅ２（録）／スカパー光／群馬テレビ
2012,Ｊ２ ,第２節第１日,03/11(日),"
														16:04","
横浜FC
","
0-0
","
愛媛
","
														ニッパ球","
														7,026",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														16:04","
熊本
","
2-1
","
鳥取
","
														熊本","
														5,817",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														16:05","
東京Ｖ
","
1-3
","
甲府
","
														味スタ","
														7,020",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第２節第１日,03/11(日),"
														17:35","
京都
","
2-0
","
千葉
","
														西京極","
														8,003",スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
2012,Ｊ２ ,第３節第１日,03/17(土),"
														13:04","
山形
","
3-2
","
大分
","
														ＮＤスタ","
														6,315",スカパー／ｅ２／スカパー光
2012,Ｊ２ ,第３節第１日,03/17(土),"
														13:04","
京都
","
2-0
","
熊本
","
														西京極","
														2,901",スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
2012,Ｊ２ ,第３節第１日,03/17(土),"
														13:04","
鳥取
","
0-3
","
町田
","
														とりスタ","
														2,477",スカパー／ｅ２（録）／スカパー光／ＮＨＫ鳥取
2012,Ｊ２ ,第３節第１日,03/17(土),"
														13:04","
徳島
","
0-1
","
栃木
","
														鳴門大塚","
														3,572",スカパー／ｅ２／スカパー光
