年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2000,Ｊ２,第１節第１日,03/11(土),15:04,浦和,2-0,水戸,駒場,"18,422",
2000,Ｊ２,第１節第２日,03/12(日),13:03,鳥栖,0-4,札幌,鳥栖,"3,800",スカイパーフェクＴＶ！
2000,Ｊ２,第１節第２日,03/12(日),14:00,大宮,2-1,新潟,大宮,"4,213",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第１節第２日,03/12(日),14:02,大分,3-1,山形,大分,"5,843",大分放送／スカイパーフェクＴＶ！（録）
2000,Ｊ２,第１節第２日,03/12(日),14:03,湘南,4-1,仙台,平塚,"6,047",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第２節第１日,03/19(日),13:00,鳥栖,2-1,新潟,鳥栖,"1,940",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第２節第１日,03/19(日),13:03,水戸,2-1,大分,ひたちな,"2,115",スカイパーフェクＴＶ！
2000,Ｊ２,第２節第１日,03/19(日),14:01,大宮,2-1,仙台,大宮,"3,636",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第２節第１日,03/19(日),14:03,湘南,1-2,浦和,平塚,"14,868",
2000,Ｊ２,第２節第２日,03/20(月・祝),13:04,甲府,0-3,札幌,小瀬,"3,231",スカイパーフェクＴＶ！
2000,Ｊ２,第３節第１日,03/25(土),18:33,浦和,1-0,大宮,駒場,"20,189",
2000,Ｊ２,第３節第２日,03/26(日),13:00,仙台,0-1,鳥栖,仙台,"6,544",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第３節第２日,03/26(日),13:01,新潟,3-2,甲府,新潟,"3,453",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第３節第２日,03/26(日),14:01,山形,1-2,水戸,山形県,"1,829",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第３節第２日,03/26(日),14:03,大分,1-2,湘南,大分,"6,955",スカイパーフェクＴＶ！
2000,Ｊ２,第４節第１日,03/30(木),14:00,札幌,3-0,新潟,室蘭,"3,162",北海道テレビ／スカイパーフェクＴＶ！
2000,Ｊ２,第４節第１日,03/30(木),18:30,甲府,1-0,仙台,小瀬,951,スカイパーフェクＴＶ！（録）
2000,Ｊ２,第４節第１日,03/30(木),19:00,鳥栖,0-7,浦和,鳥栖,"7,954",
2000,Ｊ２,第４節第１日,03/30(木),19:02,湘南,5-2,山形,平塚,"3,559",スカイパーフェクＴＶ！
2000,Ｊ２,第４節第１日,03/30(木),19:03,大宮,2-5,大分,大宮,"1,702",スカイパーフェクＴＶ！（録）／テレビ埼玉
2000,Ｊ２,第５節第１日,04/02(日),13:01,水戸,0-1,湘南,日立市,"3,020",Ｊスカイスポーツ（録）
2000,Ｊ２,第５節第１日,04/02(日),13:03,大分,2-0,鳥栖,佐伯,"1,943",スカイパーフェクＴＶ！
2000,Ｊ２,第５節第１日,04/02(日),13:33,仙台,1-2,札幌,仙台,"6,308",宮城テレビ／スカイパーフェクＴＶ！（録）
2000,Ｊ２,第５節第１日,04/02(日),14:00,山形,0-1,大宮,山形県,"2,278",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第５節第１日,04/02(日),17:03,浦和,3-1,甲府,駒場,"16,996",テレビ埼玉（録）／Ｊスカイスポーツ
2000,Ｊ２,第６節第１日,04/08(土),19:00,甲府,1-3,大分,小瀬,"1,174",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第６節第２日,04/09(日),13:00,新潟,1-3,仙台,新潟,"3,092",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第６節第２日,04/09(日),13:00,鳥栖,2-0,山形,鳥栖,"2,382",スカイパーフェクＴＶ！（録）
2000,Ｊ２,第６節第２日,04/09(日),14:00,大宮,1-0,水戸,大宮,"3,343",Ｊスカイスポーツ（録）
2000,Ｊ２,第７節第１日,04/15(土),18:01,大分,0-0,札幌,大分,"3,741",テレビ大分（録）／スカイパーフェクＴＶ！
