年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2004,Ｊ２,第１節第１日,03/13(土),14:04,札幌,2-2,甲府,札幌ド,"18,308",ＮＨＫ札幌／スカイパーフェクＴＶ！
2004,Ｊ２,第１節第１日,03/13(土),14:04,水戸,0-0,湘南,笠松,"9,155",スカイパーフェクＴＶ！
2004,Ｊ２,第１節第１日,03/13(土),14:04,川崎Ｆ,3-2,鳥栖,等々力,"9,014",スカイパーフェクＴＶ！
2004,Ｊ２,第１節第１日,03/13(土),14:04,横浜FC,4-0,仙台,三ツ沢,"7,788",Ｊ　ＳＰＯＲＴＳ／ＮＨＫ仙台（録）
2004,Ｊ２,第１節第１日,03/13(土),14:04,京都,2-3,大宮,西京極,"8,539",スカイパーフェクＴＶ！／ＫＢＳ京都（録）
2004,Ｊ２,第１節第１日,03/13(土),14:04,福岡,1-1,山形,博多球,"12,881",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ２,第２節第１日,03/20(土・祝),14:00,山形,2-2,水戸,山形県,"6,159",スカイパーフェクＴＶ！（録）
2004,Ｊ２,第２節第１日,03/20(土・祝),14:01,湘南,1-1,横浜FC,平塚,"4,759",Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ２,第２節第１日,03/20(土・祝),14:04,大宮,0-0,札幌,埼玉,"8,009",スカイパーフェクＴＶ！
2004,Ｊ２,第２節第１日,03/20(土・祝),14:04,甲府,1-2,川崎Ｆ,松本,"6,632",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ２,第２節第１日,03/20(土・祝),14:05,仙台,0-5,京都,仙台,"18,589",ＮＨＫ仙台／スカイパーフェクＴＶ！／ＫＢＳ京都（録）
2004,Ｊ２,第２節第２日,03/21(日),13:01,鳥栖,0-3,福岡,鳥栖,"8,860",スカイパーフェクＴＶ！（録）
2004,Ｊ２,第３節第１日,03/27(土),14:00,水戸,0-0,福岡,水戸,"3,295",スカイパーフェクＴＶ！（録）
