年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2005,Ｊ２,第１節第１日,03/05(土),14:04,草津,0-3,山形,群馬サ,"4,423",群馬テレビ／スカイパーフェクＴＶ！
2005,Ｊ２,第１節第１日,03/05(土),14:04,湘南,2-0,横浜FC,平塚,"7,721",スカイパーフェクＴＶ！
2005,Ｊ２,第１節第１日,03/05(土),14:04,鳥栖,1-1,福岡,鳥栖,"13,039",スカイパーフェクＴＶ！
2005,Ｊ２,第１節第１日,03/05(土),14:05,仙台,0-3,徳島,仙台,"17,375",ＮＨＫ仙台／Ｊ　ＳＰＯＲＴＳ／ＮＨＫ徳島（録）
2005,Ｊ２,第１節第１日,03/05(土),14:05,甲府,2-2,札幌,小瀬,"6,640",山梨放送／スカイパーフェクＴＶ！
2005,Ｊ２,第１節第１日,03/05(土),14:06,水戸,2-3,京都,笠松,"4,138",ＮＨＫ水戸＊／スカイパーフェクＴＶ！／ＫＢＳ京都（録）
2005,Ｊ２,第２節第１日,03/12(土),14:00,甲府,1-1,仙台,小瀬,"5,843",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ２,第２節第１日,03/12(土),14:04,横浜FC,1-1,山形,三ツ沢,"4,653",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ２,第２節第１日,03/12(土),14:04,徳島,2-3,湘南,鳴門,"8,226",ＮＨＫ徳島／スカイパーフェクＴＶ！
2005,Ｊ２,第２節第１日,03/12(土),14:04,福岡,4-1,水戸,博多球,"11,185",ＮＨＫ福岡／ＮＨＫ水戸＊／スカイパーフェクＴＶ！（録）
2005,Ｊ２,第２節第１日,03/12(土),14:07,京都,3-0,草津,西京極,"6,604",スカイパーフェクＴＶ！／ＫＢＳ京都（録）
2005,Ｊ２,第２節第２日,03/13(日),13:04,札幌,0-1,鳥栖,札幌ド,"17,607",ＮＨＫ札幌／スカイパーフェクＴＶ！（録）
2005,Ｊ２,第３節第１日,03/19(土),14:00,水戸,1-2,徳島,笠松,"2,576",ＮＨＫ水戸＊／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ２,第３節第１日,03/19(土),14:00,鳥栖,0-0,横浜FC,鳥栖,"6,305",スカイパーフェクＴＶ！（録）
2005,Ｊ２,第３節第１日,03/19(土),14:04,山形,3-1,甲府,山形県,"6,143",ＮＨＫ山形／スカイパーフェクＴＶ！（録）
2005,Ｊ２,第３節第１日,03/19(土),14:04,草津,1-4,札幌,群馬サ,"3,572",スカイパーフェクＴＶ！／群馬テレビ（録）
2005,Ｊ２,第３節第１日,03/19(土),14:04,湘南,1-2,京都,平塚,"5,081",Ｊ　ＳＰＯＲＴＳ／ＫＢＳ京都（録）
2005,Ｊ２,第３節第２日,03/20(日・祝),14:04,仙台,0-2,福岡,仙台,"15,247",東北放送／スカイパーフェクＴＶ！
2005,Ｊ２,第４節第１日,03/26(土),14:00,福岡,0-0,湘南,博多球,"8,243",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ２,第４節第１日,03/26(土),14:04,札幌,0-3,仙台,札幌ド,"12,127",スカイパーフェクＴＶ！
2005,Ｊ２,第４節第１日,03/26(土),14:04,横浜FC,1-0,草津,三ツ沢,"4,387",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ２,第４節第１日,03/26(土),14:04,京都,2-1,山形,西京極,"5,727",スカイパーフェクＴＶ！／ＫＢＳ京都（録）
2005,Ｊ２,第４節第１日,03/26(土),14:04,徳島,2-2,鳥栖,鳴門,"5,325",スカイパーフェクＴＶ！（録）
2005,Ｊ２,第４節第２日,03/27(日),14:00,甲府,4-1,水戸,小瀬,"5,498",スカイパーフェクＴＶ！（録）
2005,Ｊ２,第５節第１日,04/02(土),13:59,鳥栖,2-3,京都,鳥栖,"6,683",ＫＢＳ京都（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ２,第５節第１日,04/02(土),14:00,湘南,1-0,甲府,平塚,"4,982",スカイパーフェクＴＶ！（録）
2005,Ｊ２,第５節第１日,04/02(土),14:04,仙台,3-4,横浜FC,仙台,"14,867",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ２,第５節第１日,04/02(土),14:04,山形,0-0,福岡,山形県,"4,529",スカイパーフェクＴＶ！
2005,Ｊ２,第５節第１日,04/02(土),14:04,草津,2-0,徳島,群馬サ,"2,561",スカイパーフェクＴＶ！／群馬テレビ（録）
2005,Ｊ２,第５節第２日,04/03(日),14:00,水戸,2-0,札幌,笠松,"3,351",ＮＨＫ水戸＊／スカイパーフェクＴＶ！（録）
2005,Ｊ２,第６節第１日,04/09(土),14:00,札幌,0-0,湘南,札幌ド,"10,939",札幌テレビ／スカイパーフェクＴＶ！（録）
2005,Ｊ２,第６節第１日,04/09(土),14:00,甲府,3-1,鳥栖,小瀬,"5,257",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ２,第６節第１日,04/09(土),14:01,横浜FC,0-0,水戸,三ツ沢,"3,205",スカイパーフェクＴＶ！（録）
2005,Ｊ２,第６節第１日,04/09(土),14:04,徳島,1-1,山形,鳴門,"4,086",スカイパーフェクＴＶ！
2005,Ｊ２,第６節第１日,04/09(土),14:04,福岡,4-2,草津,博多球,"6,791",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ２,第６節第２日,04/10(日),14:04,京都,1-0,仙台,西京極,"7,556",ＮＨＫ京都／スカイパーフェクＴＶ！
2005,Ｊ２,第７節第１日,04/15(金),19:04,徳島,1-1,甲府,鳴門,"3,956",スカイパーフェクＴＶ！（録）
