年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2003,Ｊ２ ,第１節第１日,03/15(土),"
														14:01","
甲府
","
1-1
","
鳥栖
","
														小瀬","
														4,640",山梨放送／スカイパーフェクＴＶ！（録）
2003,Ｊ２ ,第１節第１日,03/15(土),"
														14:03","
札幌
","
1-3
","
横浜FC
","
														札幌ド","
														23,590",ＮＨＫ札幌／Ｊスカイスポーツ
2003,Ｊ２ ,第１節第１日,03/15(土),"
														14:05","
広島
","
2-2
","
川崎Ｆ
","
														広島ビ","
														12,426",ＮＨＫ広島／スカイパーフェクＴＶ！
2003,Ｊ２ ,第１節第１日,03/15(土),"
														15:02","
湘南
","
2-0
","
山形
","
														平塚","
														8,276",Ｊスカイスポーツ（録）
2003,Ｊ２ ,第１節第１日,03/15(土),"
														15:05","
福岡
","
1-2
","
水戸
","
														博多球","
														11,475",ＮＨＫ福岡／スカイパーフェクＴＶ！（録）
2003,Ｊ２ ,第１節第２日,03/16(日),"
														14:05","
大宮
","
1-4
","
新潟
","
														埼玉","
														20,686",スカイパーフェクＴＶ！／テレビ埼玉（録）
2003,Ｊ２ ,第２節第１日,03/21(金・祝),"
														14:02","
水戸
","
1-0
","
甲府
","
														水戸","
														3,324",スカイパーフェクＴＶ！（録）
2003,Ｊ２ ,第２節第２日,03/22(土),"
														13:05","
新潟
","
4-0
","
福岡
","
														新潟陸","
														15,089",新潟放送／スカイパーフェクＴＶ！
2003,Ｊ２ ,第２節第２日,03/22(土),"
														14:01","
横浜FC
","
0-1
","
大宮
","
														三ツ沢","
														4,542",Ｊスカイスポーツ（録）
2003,Ｊ２ ,第２節第２日,03/22(土),"
														14:04","
山形
","
2-3
","
札幌
","
														山形県","
														5,875",スカイパーフェクＴＶ！／Ｊスカイスポーツ（録）
2003,Ｊ２ ,第２節第２日,03/22(土),"
														16:04","
川崎Ｆ
","
2-1
","
湘南
","
														等々力","
														7,357",スカイパーフェクＴＶ！
